Data,Canal,Solicitante,Plataforma,Tipo de problema,Problema,Solução
25/03/2025,Presencial,Aluno,MS Teams,Interface,"Não consegue visualizar conteúdo da aba ""trabalhos"" no MS Teams.",Investigação de possível falha por partes dos professores solicitada.
26/03/2025,Presencial,Responsável,(Geral),Acesso,Mãe informou que a aluna perdeu as credenciais pois as mesmas não foram armazeadas conforme instruído (geral).,Credenciais entregues em papel.
26/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
26/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
26/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
26/03/2025,OneCode,Responsável,MS Teams,Acesso,Mãe havia cometido um erro de digitação ao inserir e-mail do filho no MS Teams e não conseguia acessar.,E-mail correto informado.
26/03/2025,OneCode,Responsável,MS Teams,Acesso,Mãe informou que filho estava inserindo e-mail pessoal ao invés do institucional no MS Teams e não conseguia acessar.,E-mail correto informado.
26/03/2025,Presencial,Aluno,MS Teams,Acesso,Estava inserindo o e-mail incorretamente no MS Teams.,E-mail correto informado.
26/03/2025,Presencial,Aluno,MS Teams,Acesso,Estava inserindo o e-mail incorretamente no MS Teams.,E-mail correto informado.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,MS Teams,Acesso,Estava inserindo a senha incorretamente no MS Teams.,Senha inserida corretamente.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
27/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue acessar a plataforma Edebê mesmo inserido credenciais corretamente.,Nova carta de acesso gerada.
